x,y
-50,-37.351474226428195
-49,-20.978714759395878
-48,-16.349051971804844
-47,-9.768460993954253
-46,-16.062864070208104
-45,-23.314262130283595
-44,-25.964807535365075
-43,-20.307343822096257
-42,-25.469713356941995
-41,-31.766998027021103
-40,-21.426841672909006
-39,-17.1113330752434
-38,-3.7856360117641934
-37,-22.361137062609018
-36,-15.862883525293181
-35,-27.697999964672604
-34,-0.3460468559394556
-33,-19.137243173888024
-32,-11.105076806003733
-31,-17.803697508420044
-30,-0.20480578399419258
-29,-22.139978326234925
-28,-18.768004744618295
-27,-22.18702828574466
-26,1.7338005896651403
-25,-25.094940910070427
-24,-21.47823655647083
-23,0.3034618847734407
-22,-5.362227495156549
-21,-5.570131583139471
-20,-15.445815361460514
-19,-20.359391032999103
-18,2.983510297979688
-17,4.811811897017446
-16,-20.78528045710575
-15,-4.9857551608297825
-14,1.6504303152510218
-13,-0.4862700883296007
-12,-11.964307070062624
-11,4.607189543682047
-10,4.333153701133554
-9,-6.308563051872024
-8,1.6126697260828848
-7,-14.645379156549895
-6,9.942986011571605
-5,-0.5035488472497605
-4,5.212557505772764
-3,-2.5393454558424597
-2,-11.910496359051876
-1,-9.810488062403506
0,8.867034354388743
1,7.504045112613557
2,0.25515050923063143
3,3.2149662148520086
4,-7.783509268453503
5,-1.6507726315692697
6,15.105173029897216
7,14.051072283850118
8,11.92557761242113
9,-0.6835707385335628
10,-2.1921949330833286
11,2.5584790596161113
12,0.17326102830476664
13,22.939246610541144
14,-0.13247654481276072
15,15.727887918146685
16,20.152541055045745
17,12.406149324777854
18,13.392454797936928
19,16.290181395686805
20,14.284159299875625
21,2.5038917856071983
22,8.267611289980817
23,6.325305836823161
24,14.04252078771167
25,22.86757460453849
26,12.02244101954414
27,25.50031230399059
28,22.392397622599344
29,3.526391331625078
30,27.09324716898564
31,22.162236329616736
32,3.0621329141266287
33,14.537597514761009
34,32.17279237384398
35,22.395134236188163
36,9.810538088816793
37,31.68201178500262
38,14.53702408909624
39,13.661305365746383
40,18.900866644198278
41,10.836566937896158
42,28.876815385585235
43,37.21012754178551
44,29.30748959161846
45,26.977854045348966
46,28.21044839059285
47,24.68845070365434
48,24.600076214673816
49,29.342078431748227
